"","Date","rf","inf","mktrf","smlo_vwret","smme_vwret","smhi_vwret","bilo_vwret","bime_vwret","bihi_vwret"
"1",2000-03-31,0.0047,0.00760678759508471,0.052,-0.1338,-0.0383,-0.0102,0.087,0.1064,0.1165
"2",2000-05-31,0.005,0.00290360046457616,-0.0442,-0.0808,-0.0553,-0.037,-0.0343,0.0105,-0.0037
"3",2000-06-30,0.004,0,0.0464,0.1746,0.0926,0.0796,0.0502,-0.0587,-0.0553
"4",2000-07-31,0.0048,0.00521134916039379,-0.0251,-0.0718,0.0147,0.0222,-0.0305,0.034,0.0453
"5",2000-08-31,0.005,0.00345622119815658,0.0703,0.0852,0.0558,0.0633,0.0752,0.0844,0.0724
"6",2000-10-31,0.0056,0.00229621125143509,-0.0276,-0.0823,-0.0109,-0.0185,-0.0224,0.0092,0.01
"7",2000-11-30,0.0051,0.00801832760595644,-0.1072,-0.1619,-0.0443,-0.0246,-0.1079,-0.0297,0.0012
"8",2001-01-31,0.0054,0.000568181818181746,0.0313,0.1256,0.0537,0.0641,0.0371,0.0093,-0.0161
"9",2001-02-28,0.0038,0.00681431005110733,-0.1005,-0.1228,-0.0055,0.0059,-0.1157,-0.0047,0.0333
"10",2001-04-30,0.0039,0.00225606316976856,0.0794,0.102,0.0497,0.0513,0.0892,0.0525,0.0527
"11",2001-05-31,0.0032,-0.00168823860438927,0.0072,0.0411,0.0446,0.064,0.0039,0.0196,0.0362
"12",2001-07-31,0.003,0.00394588500563686,-0.0213,-0.0955,-0.0405,-0.0104,-0.0168,-0.0136,0.0109
"13",2001-08-31,0.0031,-0.00336889387984274,-0.0646,-0.0779,-0.0234,-0.0124,-0.0697,-0.0399,-0.0667
"14",2001-10-31,0.0022,-0.000563380281690118,0.0246,0.112,0.0507,0.0442,0.0332,0.0075,-0.0401
"15",2001-11-30,0.0017,0.00169109357384434,0.0754,0.0908,0.0717,0.0889,0.0832,0.0586,0.1001
"16",2001-12-31,0.0015,0.00168823860438949,0.0161,0.0666,0.0684,0.0696,0.0075,0.0297,0.0135
"17",2002-01-31,0.0014,0.00280898876404501,-0.0144,-0.0517,0.0111,0.027,-0.0086,-0.02,-0.0182
"18",2002-02-28,0.0013,0.00560224089635852,-0.0229,-0.0819,-0.0131,-0.0041,-0.026,0.0011,-0.0255
"19",2002-04-30,0.0015,0.000557103064066755,-0.052,-0.0361,0.0273,0.0396,-0.0694,-0.0149,-0.0605
"20",2002-05-31,0.0014,0.00501113585746116,-0.0138,-0.0644,-0.0366,-0.0253,-0.0136,9e-04,-0.0027
"21",2002-07-31,0.0015,0.00387811634349022,-0.0818,-0.1456,-0.1427,-0.1496,-0.0596,-0.0941,-0.1285
"22",2002-09-30,0.0014,0.0016556291390728,-0.1035,-0.0862,-0.0769,-0.0654,-0.1058,-0.1024,-0.1017
"23",2002-10-31,0.0014,0.0060606060606061,0.0784,0.0687,0.0425,-0.001,0.0971,0.0643,0.0377
"24",2002-12-31,0.0011,0.00547645125958374,-0.0576,-0.0912,-0.0409,-0.0335,-0.0628,-0.0459,-0.0432
"25",2003-01-31,0.001,0.00163398692810457,-0.0257,-0.0238,-0.0242,-0.0135,-0.0267,-0.0227,-0.0538
"26",2003-02-28,9e-04,-0.00380641653072333,-0.0188,-0.0366,-0.0236,-0.0333,-0.0101,-0.0327,-0.0422
"27",2003-03-31,0.001,-0.0016375545851528,0.0109,0.0193,0.0055,0.01,0.017,0.0011,-0.0055
"28",2003-04-30,0.001,0.00437397484964452,0.0822,0.1115,0.0943,0.0905,0.0764,0.0909,0.0966
"29",2003-06-30,0.001,0.00435492651061509,0.0142,0.0236,0.0246,0.0364,0.0121,0.0134,0.014
"30",2003-07-31,7e-04,0.0021680216802169,0.0235,0.0829,0.0616,0.0632,0.0233,0.0174,0.0017
"31",2003-09-30,8e-04,0.000540832882639286,-0.0124,-0.0176,-0.0164,0.0089,-0.0081,-0.0195,-0.015
"32",2003-10-31,7e-04,0.00702702702702718,0.0608,0.0821,0.0826,0.1084,0.0512,0.0748,0.0607
"33",2003-12-31,8e-04,0.00590445517981752,0.0429,0.0074,0.024,0.0407,0.0429,0.049,0.0638
"34",2004-03-31,9e-04,0.00426894343649931,-0.0132,0.0099,0.006,0.0042,-0.0183,-0.0055,-0.0112
"35",2004-04-30,8e-04,0.00478214665249732,-0.0183,-0.037,-0.0344,-0.0608,-0.0067,-0.0316,-0.0163
"36",2004-06-30,8e-04,0.00370174510840826,0.0186,0.0343,0.0442,0.0526,0.0122,0.022,0.0273
"37",2004-08-31,0.0011,0.00526870389884082,8e-04,-0.0212,-0.0029,-0.0084,-0.0018,0.009,0.0081
"38",2004-09-30,0.0011,0.0047169811320753,0.016,0.0553,0.0492,0.0396,0.0054,0.022,0.0289
"39",2004-11-30,0.0015,-0.000521648408972286,0.0454,0.0815,0.0862,0.0994,0.0345,0.0526,0.0554
"40",2004-12-31,0.0016,0.00417536534446761,0.0343,0.0429,0.0262,0.039,0.0403,0.0254,0.037
"41",2005-01-31,0.0016,0.00363825363825354,-0.0276,-0.0574,-0.0314,-0.0204,-0.0295,-0.0177,-0.0131
"42",2005-02-28,0.0016,0.00310719834282747,0.0189,0.0043,0.0215,0.0376,0.0081,0.0432,0.0318
"43",2005-03-31,0.0021,0,-0.0197,-0.0405,-0.0243,-0.0176,-0.0123,-0.0281,-2e-04
"44",2005-05-31,0.0024,0.00619514713474456,0.0365,0.0737,0.0633,0.0549,0.0393,0.0294,0.0333
"45",2005-06-30,0.0023,0.0200102616726527,0.0057,0.0261,0.0427,0.0457,-0.0099,0.0197,0.0269
"46",2005-08-31,0.003,0.00150905432595572,-0.0122,-0.0214,-0.0136,-0.0087,-0.0164,-7e-04,0
"47",2005-09-30,0.0029,-0.00502260170768454,0.0049,0.0051,0.0058,0.0046,-0.0024,0.0174,0.0208
"48",2005-10-31,0.0027,0,-0.0202,-0.0365,-0.0277,-0.0246,-0.0026,-0.027,-0.0283
"49",2005-11-30,0.0031,0.0065623422513883,0.0361,0.0506,0.0484,0.0344,0.0426,0.0381,0.023
"50",2006-01-31,0.0035,0.00150451354062175,0.0304,0.0859,0.0954,0.0769,0.0127,0.0403,0.0456
"51",2006-02-28,0.0034,0.00500751126690036,-0.003,-0.0038,-0.003,-0.0066,0.0032,0.0034,-0.0103
"52",2006-03-31,0.0037,0.00548081714001003,0.0146,0.0426,0.0546,0.0485,0.0158,0.0153,0.008
"53",2006-05-31,0.0043,0.00545094152626358,-0.0357,-0.0773,-0.0458,-0.0393,-0.0311,-0.0267,-0.0128
"54",2006-06-30,0.004,0.00443568260226712,-0.0035,-0.0072,0.0028,0.0027,-0.0037,2e-04,0.0181
"55",2006-07-31,0.004,-0.00490677134445539,-0.0078,-0.0582,-0.028,-0.0186,-0.0121,0.0134,0.0138
"56",2006-08-31,0.0042,-0.00394477317554243,0.0203,0.0324,0.0268,0.0244,0.0347,0.0164,0.0075
"57",2006-10-31,0.0041,0.00544554455445545,0.0323,0.0591,0.0499,0.0511,0.0315,0.0306,0.049
"58",2006-11-30,0.0042,0.00554406696208765,0.0171,0.0264,0.0271,0.0312,0.0145,0.0276,0.0192
"59",2007-01-31,0.0044,0.00520012143409754,0.014,0.0219,0.0098,0.0246,0.0227,0.0113,0.0197
"60",2007-02-28,0.0038,0.00714605822064596,-0.0196,-0.0021,-0.0037,-0.0031,-0.02,-0.0159,-0.0142
"61",2007-04-30,0.0044,0.00231675171096235,0.0349,0.0232,0.019,0.0174,0.0488,0.0386,0.0352
"62",2007-05-31,0.0041,0.00208942548037472,0.0324,0.0414,0.0408,0.0278,0.0298,0.0404,0.0405
"63",2007-07-31,0.004,0.00423755339076504,-0.0373,-0.049,-0.058,-0.0783,-0.0158,-0.0429,-0.0464
"64",2007-08-31,0.0042,0.0109663529084572,0.0092,0.0171,0.0213,-0.0086,0.0164,0.0235,-0.0055
"65",2007-10-31,0.0032,0.00289801455173255,0.018,0.0362,0.0165,0.0092,0.0298,0.0084,0.0179
"66",2007-11-30,0.0034,0.00344770507697034,-0.0483,-0.0674,-0.0711,-0.0772,-0.0344,-0.0506,-0.0465
"67",2007-12-31,0.0027,0.00241782687793979,-0.0087,0.0024,-0.009,-0.0074,-0.0044,-0.0155,0.0054
"68",2008-01-31,0.0021,0.00357802780611882,-0.0636,-0.0816,-0.0581,-0.0461,-0.0726,-0.0439,-0.0468
"69",2008-02-29,0.0013,0.00231438102020154,-0.0309,-0.0415,-0.0301,-0.0368,-0.0237,-0.0388,-0.0289
"70",2008-03-31,0.0017,0.00591749165661715,-0.0093,-0.014,0.0098,6e-04,0.0052,-0.0291,-0.0039
"71",2008-04-30,0.0018,0.0176945094977881,0.046,0.0491,0.0287,0.0291,0.0398,0.0536,0.0582
"72",2008-06-30,0.0017,-0.00148847572780064,-0.0844,-0.0752,-0.0773,-0.0779,-0.0733,-0.098,-0.0917
"73",2008-07-31,0.0015,-0.00775069733412592,-0.0077,0.0275,0.0259,0.0549,-0.0081,-0.0294,0.0382
"74",2008-09-30,0.0015,-0.0177054770847255,-0.0924,-0.1087,-0.0709,-0.0713,-0.0963,-0.0978,-0.0456
"75",2008-10-31,8e-04,-0.00572358822066776,-0.1723,-0.2183,-0.1935,-0.2033,-0.1505,-0.171,-0.2254
"76",2008-12-31,0,0.00366153454157692,0.0174,0.0553,0.0407,0.0537,0.0222,0.0081,-3e-04
"77",2009-03-31,2e-04,0.00147149391892198,0.0895,0.0913,0.1019,0.1142,0.0808,0.0942,0.1099
"78",2009-04-30,1e-04,0.00799917379425596,0.1019,0.162,0.1657,0.1812,0.0734,0.1124,0.1627
"79",2009-06-30,1e-04,0.00334845337779299,0.0043,0.0523,0.01,0.0153,0.0148,-0.0199,0.003
"80",2009-07-31,1e-04,0.00193088723340051,0.0772,0.0675,0.1024,0.1446,0.0679,0.0852,0.0866
"81",2009-08-31,1e-04,0.00300193179870378,0.0333,0.0101,0.0296,0.0918,0.0192,0.0391,0.0888
"82",2009-09-30,1e-04,0.0038705088472073,0.0408,0.0682,0.057,0.0785,0.0358,0.0403,0.0533
"83",2009-11-30,0,0.000547511582860594,0.0556,0.0173,0.02,0.0432,0.0671,0.0489,0.0447
"84",2009-12-31,1e-04,-0.000413857798460482,0.0275,0.0846,0.0828,0.0856,0.0193,0.0275,0.0327
"85",2010-03-31,1e-04,-0.000354224937435532,0.0631,0.0734,0.0812,0.0904,0.0539,0.0658,0.0779
"86",2010-04-30,1e-04,0.00173953860809295,0.02,0.0457,0.0632,0.0941,0.009,0.0216,0.0245
"87",2010-06-30,1e-04,0.00277475341905675,-0.0556,-0.0606,-0.0771,-0.1092,-0.0472,-0.0518,-0.0843
"88",2010-08-31,1e-04,0.00340386932440295,-0.0477,-0.0703,-0.0793,-0.0833,-0.0414,-0.0445,-0.0564
"89",2010-09-30,1e-04,0.00645134779750167,0.0954,0.1396,0.1267,0.1104,0.1006,0.0877,0.0727
"90",2010-11-30,1e-04,0.00292600606976134,0.006,0.0314,0.0435,0.035,0.0059,0.0033,-0.0094
"91",2010-12-31,1e-04,0.0033200351000986,0.0682,0.0736,0.0804,0.0953,0.0494,0.0815,0.095
"92",2011-01-31,1e-04,0.00513488657265482,0.0199,-0.0042,-4e-04,0.0038,0.0189,0.0285,0.0249
"93",2011-02-28,1e-04,0.0049382162319751,0.0349,0.049,0.0516,0.061,0.0257,0.0409,0.0481
"94",2011-03-31,1e-04,0.00416860070696612,0.0045,0.0314,0.026,0.0236,8e-04,0.0136,-0.0145
"95",2011-05-31,0,0.00250233343704154,-0.0127,-0.012,-0.0226,-0.0327,-0.0054,-0.0166,-0.026
"96",2011-06-30,0,0.00497000704934103,-0.0175,-0.0168,-0.0195,-0.019,-0.0148,-0.0194,-0.0174
"97",2011-08-31,1e-04,0.000383811111993371,-0.0599,-0.0906,-0.0923,-0.0966,-0.0422,-0.0707,-0.0676
"98",2011-09-30,0,0.00165372352388649,-0.0759,-0.1113,-0.114,-0.1112,-0.0642,-0.0765,-0.0842
"99",2011-10-31,0,-0.000189313891236997,0.1135,0.1554,0.1587,0.1298,0.1021,0.1248,0.1092
"100",2011-11-30,0,0.00460163897610233,-0.0028,-0.0143,-0.0037,-7e-04,-0.0015,0.009,-0.0184
"101",2012-01-31,0,0.00260368724193238,0.0505,0.0799,0.0699,0.0598,0.0606,0.0356,0.0374
"102",2012-02-29,0,0.00066453316545112,0.0442,0.0357,0.0239,0.0286,0.0453,0.0389,0.0532
"103",2012-04-30,0,-0.000257772496111586,-0.0085,-0.0127,-0.0208,-0.0097,-0.0057,-0.0067,-0.0122
"104",2012-05-31,1e-04,0.00492516114934993,-0.0619,-0.066,-0.0647,-0.0579,-0.0588,-0.0616,-0.0646
"105",2012-07-31,0,0.00493146395769561,0.0079,-0.0299,-0.0106,-0.0145,0.0128,0.0124,-0.0023
"106",2012-08-31,1e-04,0.000450048899543809,0.0255,0.0329,0.034,0.0351,0.027,0.0177,0.0358
"107",2012-10-31,1e-04,-0.00039361564081497,-0.0176,-0.0381,-0.0129,-0.0044,-0.0287,-0.0151,0.0203
"108",2012-11-30,1e-04,0.000960627263640212,0.0078,0.0074,0.0084,0.0107,0.0159,0,-0.0093
"109",2012-12-31,1e-04,0.00552479022656827,0.0118,0.0255,0.0377,0.0422,-0.0015,0.0115,0.0467
"110",2013-01-31,0,-0.00225280418230522,0.0557,0.0663,0.0608,0.0647,0.0465,0.0569,0.0742
"111",2013-02-28,0,0.000211138640525688,0.0129,0.011,0.0058,0.0139,0.0117,0.016,0.0146
"112",2013-04-30,0,0.00317071909841293,0.0156,-0.0089,-0.0057,-0.0036,0.0181,0.0147,0.021
"113",2013-05-31,0,0.00246070600360726,0.028,0.0525,0.0536,0.047,0.0214,0.0197,0.0534
"114",2013-07-31,0,0.00149507567481888,0.0565,0.0739,0.0704,0.0802,0.0554,0.0493,0.0638
"115",2013-09-30,0,0.00107364981050706,0.0377,0.0649,0.0667,0.0503,0.042,0.0295,0.0249
"116",2013-10-31,0,0.00384561151632457,0.0418,0.0113,0.032,0.0389,0.0448,0.0415,0.0431
"117",2013-12-31,0,0.00100454172040543,0.0281,0.0172,0.0276,0.0195,0.0242,0.0341,0.019
"118",2014-01-31,0,0.00200281499687449,-0.0332,-0.0035,-0.0408,-0.0359,-0.0324,-0.0358,-0.0372
"119",2014-02-28,0,0.00260566966559161,0.0465,0.0407,0.0513,0.0477,0.0502,0.0464,0.0336
"120",2014-03-31,0,0.00350893529845009,0.0043,-0.0319,0.012,0.0108,-0.0096,0.0143,0.041
"121",2014-04-30,0,0.00348401192831194,-0.0019,-0.0631,-0.0309,-0.025,0.0023,0.0087,-0.0043
"122",2014-06-30,0,-0.00202178143744036,0.0261,0.0742,0.0462,0.0452,0.0178,0.0245,0.0337
"123",2014-07-31,0,NA,-0.0204,-0.0623,-0.06,-0.0569,-0.0166,-0.0125,-0.0218
